"filename", "language", "Markdown", "CMake", "JSON", "C++", "comment", "blank", "total"
"c:\Users\blake\Programing\Personal Projects\Docme\docs\Warnings.md", "Markdown", 63, 0, 0, 0, 0, 26, 89
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\CMakeLists.txt", "CMake", 0, 9, 0, 0, 3, 3, 15
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\CMakeLists.txt", "CMake", 0, 37, 0, 0, 2, 4, 43
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\cdoc.cpp", "C++", 0, 0, 0, 5, 2, 3, 10
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\cdoc.hpp", "C++", 0, 0, 0, 6, 4, 8, 18
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\cdoc.mpp", "C++", 0, 0, 0, 4, 4, 4, 12
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\handler.cpp", "C++", 0, 0, 0, 9, 12, 11, 32
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\handler.mpp", "C++", 0, 0, 0, 27, 8, 6, 41
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\cdoc\metadata.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\plugins.hpp", "C++", 0, 0, 0, 7, 0, 6, 13
"c:\Users\blake\Programing\Personal Projects\Docme\plugins\std.hpp", "C++", 0, 0, 0, 4, 2, 2, 8
"c:\Users\blake\Programing\Personal Projects\Docme\resources\pluginRegistry.json", "JSON", 0, 0, 7, 0, 0, 0, 7
"c:\Users\blake\Programing\Personal Projects\Docme\resources\templateConfigFile.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"c:\Users\blake\Programing\Personal Projects\Docme\todo.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 1463, 517, 153, 2485, 1549, 1851, 8018
